 Aravindh,Chithambaram  VR. ,0.0,0.0,0.0,0.0,0.0,0.0,61.0
 Erigaisi,Arjun ,0.0,0.0,0.0,0.0,0.0,0.0,28.0
 Fedoseev,Vl3 ,0.0,0.0,0.0,0.0,0.0,0.0,49.0
 Gukesh,D ,0.0,0.0,0.0,0.0,0.0,0.0,46.0
 Niemann,Hans  Moke ,0.0,0.0,0.0,0.0,0.0,0.0,58.0
 Van  Foreest,Jorden ,0.0,0.0,0.0,0.0,0.0,0.0,61.0
 Keymer,Vincent ,0.0,0.0,0.0,0.0,0.0,0.0,46.0
 Sindarov,Javokhir ,0.0,0.0,0.0,0.0,0.0,0.0,28.0
 Abdusattorov,Nodirbek ,0.0,0.0,0.0,0.0,0.0,0.0,64.0
 Giri,A ,0.0,0.0,0.0,0.0,0.0,0.0,49.0
 Erdogmus,Yagiz  Kaan ,0.0,0.0,0.0,0.0,0.0,0.0,36.0
 Praggnanandhaa,R ,0.0,0.0,0.0,0.0,0.0,0.0,83.0
 Bluebaum,M ,0.0,0.0,0.0,0.0,0.0,0.0,37.0
 Nguyen,Thai  Dai  Van ,0.0,0.0,0.0,0.0,0.0,0.0,83.0
 Carlsen,M ,0.0,0.0,0.0,0.0,0.0,0.0,87.0
 Lazavik,Denis ,0.0,0.0,0.0,0.0,0.0,0.0,52.0
 Firouzja,Alireza ,0.0,0.0,0.0,0.0,0.0,0.0,73.0
 Nakamura,Hi ,0.0,0.0,0.0,0.0,0.0,0.0,73.0
 Caruana,F ,0.0,0.0,0.0,0.0,0.0,0.0,40.0
 Aronian,L ,0.0,0.0,0.0,0.0,0.0,0.0,40.0
 Woods,Yannick ,0.0,0.0,0.0,0.0,0.0,0.0,43.0
 Mitev,Valentin ,0.0,0.0,0.0,0.0,0.0,0.0,43.0
 Shearsby,Jude ,0.0,0.0,0.0,0.0,0.0,0.0,29.0
 Bara,Jan ,0.0,0.0,0.0,0.0,0.0,0.0,29.0
 Skettos,Nicolas ,0.0,0.0,0.0,0.0,0.0,0.0,32.0
 Khoury,Theo ,0.0,0.0,0.0,0.0,0.0,0.0,32.0
 Wong,J ,0.0,0.0,0.0,0.0,0.0,0.0,33.0
 Gorskovs,Andrejs ,0.0,0.0,0.0,0.0,0.0,0.0,33.0
 Freeman,Luke ,0.0,0.0,0.0,0.0,0.0,0.0,59.0
 Badacsonyi,Stanley ,0.0,0.0,0.0,0.0,0.0,0.0,59.0
 Rastogi,Nayan  Keats ,0.0,0.0,0.0,0.0,0.0,0.0,52.0
 Radeva,Viktoria ,0.0,0.0,0.0,0.0,0.0,0.0,52.0
 Collyer,David ,0.0,0.0,0.0,0.0,0.0,0.0,51.0
 Lindberg,Be ,0.0,0.0,0.0,0.0,0.0,0.0,51.0
 Jalving,August ,0.0,0.0,0.0,0.0,0.0,0.0,30.0
 Cotton,Gil ,0.0,0.0,0.0,0.0,0.0,0.0,30.0
 Williams,Ana ,0.0,0.0,0.0,0.0,0.0,0.0,37.0
 Chakrabarty,Reyaansh ,0.0,0.0,0.0,0.0,0.0,0.0,37.0
 Kaufman,R ,0.0,0.0,0.0,0.0,0.0,0.0,72.0
 Norinkeviciute,R ,0.0,0.0,0.0,0.0,0.0,0.0,72.0
 Bowley,Clive ,0.0,0.0,0.0,0.0,0.0,0.0,19.0
 Dickenson,N ,0.0,0.0,0.0,0.0,0.0,0.0,19.0
 Bozinakis,P ,0.0,0.0,0.0,0.0,0.0,0.0,26.0
 Shivakumar,Akshath ,0.0,0.0,0.0,0.0,0.0,0.0,26.0
 Kendall,Arthur ,0.0,0.0,0.0,0.0,0.0,0.0,30.0
 Cummings,D ,0.0,0.0,0.0,0.0,0.0,0.0,30.0
 Dishman,S ,0.0,0.0,0.0,0.0,0.0,0.0,62.0
 Steiners,Emils ,0.0,0.0,0.0,0.0,0.0,0.0,62.0
 Kaushik,Madhav ,0.0,0.0,0.0,0.0,0.0,0.0,46.0
 Hanache,Kai ,0.0,0.0,0.0,0.0,0.0,0.0,46.0
 Yakubboev,Nodirbek ,0.0,0.0,0.0,0.0,0.0,0.0,35.0
 Anton  Guijarro,D ,0.0,0.0,0.0,0.0,0.0,0.0,58.0
 Navara,D ,0.0,0.0,0.0,0.0,0.0,0.0,64.0
 Maghsoodloo,Parham ,0.0,0.0,0.0,0.0,0.0,0.0,35.0
 So,W ,0.0,0.0,0.0,0.0,0.0,0.0,33.0
 Liang,Awonder ,0.0,0.0,0.0,0.0,0.0,0.0,49.0
 Yip,Carissa ,0.0,0.0,0.0,0.0,0.0,0.0,41.0
 Lee,Alice ,0.0,0.0,0.0,0.0,0.0,0.0,41.0
